locus_id,locus_name,locus_type,hazard_level,hazard_grade,dwell_category,confined_space,height_risk,minimum_crew,work_permit_required
GW-293,fab_4F_X29Y07_호이스트,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-282,fab_4F_X22Y11,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-277,fab_4F_X10Y09,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-328,fab_5F_X06Y13,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-344,fab_6F_X25Y04,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-290,fab_4F_X22Y07,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-345,fab_5F_X09Y06,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-235,fab_1F_X14Y09,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-322,fab_3F_X24Y02,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-327,fab_2F_X16Y14,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-276,fab_4F_X27Y13,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-324,fab_3F_X19Y03,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-194,fab_1F_X28Y06,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-315,fab_5F_X29Y07_호이스트,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-348,fab_5F_X24Y09,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-166,wwt_1F_X02Y03,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-161,wwt_1F_X14Y23,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-266,wwt_2F_X10Y23,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-224,wwt_2F_X10Y18,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-270,wwt_2F_X10Y08,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-182,wwt_호이스트_1-0,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-180,wwt_B1F_X16Y08,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-222,wwt_2F_X09Y13,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-271,wwt_2F_X03Y08,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-159,wwt_1F_X03Y13,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-268,wwt_2F_X03Y13,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-219,wwt_2F_X14Y21,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-175,wwt_B1F_X09Y21,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-223,wwt_2F_X04Y04,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-281,wwt_2F_X01Y21_호이스트,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-171,wwt_B1F_X03Y07,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-269,wwt_2F_X12Y18,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-153,wwt_1F_X03Y22,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-168,wwt_B1F_X09Y17,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-155,wwt_1F_X10Y04,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-158,wwt_1F_X10Y09,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-264,wwt_2F_X10Y03,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-178,wwt_B1F_X16Y23,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-156,wwt_1F_X03Y18,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-167,wwt_B1F_X17Y05,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-160,wwt_1F_X10Y18,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-267,wwt_2F_X13Y07,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-221,wwt_2F_X11Y13_휴게실,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-165,wwt_1F_X09Y13,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-164,wwt_1F_X14Y18,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-152,wwt_1F_X10Y23,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-263,wwt_2F_X03Y17,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-174,wwt_B1F_X12Y08,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-181,wwt_B1F_X04Y11,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-169,wwt_B1F_X17Y13,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-154,wwt_1F_X03Y08,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-176,wwt_B1F_X15Y16,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-265,wwt_2F_X14Y12,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-163,wwt_1F_X14Y05,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-162,wwt_1F_X14Y13,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-157,wwt_1F_X13Y07,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-356,비상발전기동_2F,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-311,비상발전기동_1F_x:04,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-220,upw_1F_X11Y02,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-383,bl_1BL_1F_X07Y04,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-382,bl_1BL_2F_X07Y04,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-251,bl_1BL_B2F_타워크레인_FAB_1-3,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-374,bl_1BL_B1F_X12Y09,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-381,bl_1BL_2F_X07Y11,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-250,bl_1BL_B1F_1층초입,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-396,bl_1BL_1F_X12Y08,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-373,bl_1BL_B1F_X07Y15,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-394,bl_1BL_1F_X07Y22,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-395,bl_1BL_1F_X07Y17,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-318,bl_2BL_비계_x34_망실,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-385,bl_2BL_B1F_X28Y10,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-242,bl_2BL_B2F_인동선_X44,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-372,bl_2BL_B1F_X21Y10,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-390,bl_2BL_1F_X40Y11,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-397,bl_2BL_1F_X24Y11,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-376,bl_2BL_B1F_X43Y10,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-384,bl_2BL_B1F_X37Y08,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-398,bl_2BL_1F_X31Y11,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-247,bl_3BL_B2F_인동선_X69,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-245,bl_3BL_B2F_타워크레인_FAB_3-6_X47,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-379,bl_3BL_B1F_X54Y09,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-391,bl_3BL_1F_X61Y11,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-377,bl_3BL_B1F_X69Y09_휴게실,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-278,bl_2BL_인동선_X17_망실,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-378,bl_3BL_B1F_X63Y09,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-393,bl_3BL_1F_X49Y11,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-147,bl_3BL_B2F_타워크레인_FAB_3-2_X58,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-365,fab_클라이머_1-0,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-259,본진_B동앞_보호구_걸이대,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-236,본진_정문_진입_타각기,GATE,medium,2.0,SHORT_STAY,False,False,1,False
GW-280,bl_4_물류순환센터_크레인_방향계단,VERTICAL,medium,2.0,SHORT_STAY,False,False,1,False
GW-262,bl_4_타워크레인_4-1,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-132,본진_타각기_출구_4번,GATE,medium,2.0,SHORT_STAY,False,False,1,False
GW-363,fab_호이스트_1-4,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-360,fab_클라이머_1-1,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-179,wwt_호이스트_1-2,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-248,bl_4_중앙 휴계실,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-256,안전교육장_중,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-252,본진_통합관제실_입구,GATE,medium,2.0,SHORT_STAY,False,False,1,False
GW-246,bl_타각기 입구,GATE,medium,2.0,SHORT_STAY,False,False,1,False
GW-148,본진_타각기_출구_1번,GATE,medium,2.0,SHORT_STAY,False,False,1,False
GW-136,wwt_펌프장,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-244,bl_4_타각기,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-135,bl_4_동측_보세창고_화장실,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-134,cub_호이스트_1-2,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-313,cub_클라이머,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-314,fab_호이스트_1-0,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-233,본진_타각기_입구_2번_철거,GATE,medium,2.0,SHORT_STAY,False,False,1,False
GW-369,fab_호이스트_1-2,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-254,cub_호이스트_1-1,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-184,wwt_호이스트_1-1,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-364,fab_호이스트_1-3,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-258,본진_타각기_보호구_걸이대,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-308,bl_4_컨테이너,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-229,6Gate,GATE,medium,2.0,SHORT_STAY,False,False,1,False
GW-149,본진_타각기_입구_4번_철거,GATE,medium,2.0,SHORT_STAY,False,False,1,False
GW-133,본진_타각기_출구_2번,GATE,medium,2.0,SHORT_STAY,False,False,1,False
GW-225,본진_내부_남자휴게실,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-358,fab_호이스트_1-1,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-257,본진_타각기_앞_흡연실,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-249,bl_TK가시설_초입,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-232,본진_타각기_출구_3번,GATE,medium,2.0,SHORT_STAY,False,False,1,False
GW-309,bl_4_물류순환센터_입구,GATE,medium,2.0,SHORT_STAY,False,False,1,False
GW-227,본진_타각기_입구_3번_철거,GATE,medium,2.0,SHORT_STAY,False,False,1,False
GW-255,본진_B동_후면_타각기,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
GW-231,154kV_휴게실,WORK_AREA,medium,2.0,SHORT_STAY,False,False,1,False
