locus_id,locus_name,locus_type,token,building,floor,zone,scale,dwell_category,sward_ids,sward_count,function,hazard_level,hazard_grade,tags,description,congestion_prone,sector_id,gateway_no,gateway_name,building_no,floor_no,location_x,location_y,locus_version
GW-333,fab_5F_X20Y12,WORK_AREA,work_area,FAB,5F,,POINT,SHORT_STAY,GW-333,1,WORK,medium,2.0,,,False,Y1_SKHynix,333,fab_5F_X20Y12,2.0,22.0,228.0,141.0,v2
GW-359,fab_3F_ X29Y09_클라이머,WORK_AREA,work_area,FAB,3F,,POINT,SHORT_STAY,GW-359,1,WORK,medium,2.0,,,False,Y1_SKHynix,359,fab_3F_ X29Y09_클라이머,2.0,21.0,330.0,97.0,v2
GW-306,fab_1F_X20Y09,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-306,1,WORK,medium,2.0,,,False,Y1_SKHynix,306,fab_1F_X20Y09,2.0,4.0,227.0,97.0,v2
GW-185,fab_1F_X24Y06,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-185,1,WORK,medium,2.0,,,False,Y1_SKHynix,185,fab_1F_X24Y06,2.0,4.0,276.0,54.0,v2
GW-192,fab_1F_X23Y09,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-192,1,WORK,medium,2.0,,,False,Y1_SKHynix,192,fab_1F_X23Y09,2.0,4.0,264.0,96.0,v2
GW-332,fab_5F_X10Y09,WORK_AREA,work_area,FAB,5F,,POINT,SHORT_STAY,GW-332,1,WORK,medium,2.0,,,False,Y1_SKHynix,332,fab_5F_X10Y09,2.0,22.0,108.0,97.0,v2
GW-189,fab_1F_X19Y06,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-189,1,WORK,medium,2.0,,,False,Y1_SKHynix,189,fab_1F_X19Y06,2.0,4.0,216.0,55.0,v2
GW-334,fab_5F_X23Y12,WORK_AREA,work_area,FAB,5F,,POINT,SHORT_STAY,GW-334,1,WORK,medium,2.0,,,False,Y1_SKHynix,334,fab_5F_X23Y12,2.0,22.0,263.0,141.0,v2
GW-298,fab_4F_X23Y13,WORK_AREA,work_area,FAB,4F,,POINT,SHORT_STAY,GW-298,1,WORK,medium,2.0,,,False,Y1_SKHynix,298,fab_4F_X23Y13,2.0,7.0,275.0,155.0,v2
GW-291,fab_1F_X06Y08,WORK_AREA,work_area,FAB,1F,,POINT,SHORT_STAY,GW-291,1,WORK,medium,2.0,,,False,Y1_SKHynix,291,fab_1F_X06Y08,2.0,4.0,62.0,84.0,v2
